,"Type","Date","Num","Name","Memo","Split","Amount","Balance"
,"General Journal","5/6/2022","8951",,,"6554 · Office Supplies",14.47,1009.73
,"General Journal","5/6/2022","8952",,,"6405 · Kins Farm Market",4.08,1013.81
,"General Journal","5/6/2022","8953",,,"6550 · Office Supplies",23.93,1037.74
,"General Journal","5/6/2022","8954",,,"6550 · Office Supplies",12.08,1049.82
,"General Journal","5/6/2022","8955",,,"6550 · Office Supplies",31.89,1081.71
,"General Journal","5/7/2022","8958",,,"6550 · Office Supplies",7.63,1089.34
,"General Journal","5/8/2022","8960",,,"6550 · Office Supplies",32.54,1121.88
,"General Journal","5/8/2022","8961",,,"6550 · Office Supplies",12.91,1134.79
,"General Journal","5/8/2022","8962",,,"6550 · Office Supplies",26.12,1160.91
,"General Journal","5/8/2022","8963",,,"6550 · Office Supplies",29.39,1190.30
,"General Journal","5/8/2022","8971",,,"1711 · 1and1 domain",19.81,1210.11
,"General Journal","5/10/2022","8964",,,"6550 · Office Supplies",136.49,1346.60
,"General Journal","5/11/2022","8965",,,"6550 · Office Supplies",92.91,1439.51
,"General Journal","5/11/2022","8966",,,"6402 · Walmart",39.55,1479.06
,"General Journal","5/11/2022","8967",,,"6550 · Office Supplies",27.29,1506.35
,"General Journal","5/11/2022","8968",,,"6550 · Office Supplies",27.29,1533.64
,"General Journal","5/11/2022","8969",,,"6550 · Office Supplies",26.24,1559.88
,"General Journal","5/14/2022","8972",,,"6550 · Office Supplies",89.02,1648.90
,"General Journal","5/14/2022","8973",,,"6550 · Office Supplies",41.29,1690.19
,"General Journal","5/14/2022","8974",,,"6370 · Meals",13.15,1703.34
,"General Journal","5/14/2022","8975",,,"6550 · Office Supplies",47.88,1751.22
,"General Journal","5/15/2022","8976",,,"6345 · Telus Cell phone 778-887-8858",14.56,1765.78
,"General Journal","5/15/2022","8977",,,"6345 · Telus Cell phone 778-887-8858",28.00,1793.78
,"General Journal","5/15/2022","8978",,,"6550 · Office Supplies",58.21,1851.99
,"General Journal","5/16/2022","8979",,,"6550 · Office Supplies",16.03,1868.02
,"General Journal","5/16/2022","8980",,,"6550 · Office Supplies",10.49,1878.51
,"General Journal","5/16/2022","8981",,,"6550 · Office Supplies",5.54,1884.05
,"General Journal","5/16/2022","8982",,,"6550 · Office Supplies",16.79,1900.84
,"General Journal","5/16/2022","8983",,,"6550 · Office Supplies",14.69,1915.53
,"General Journal","5/16/2022","8984",,,"6550 · Office Supplies",8.39,1923.92
,"General Journal","5/17/2022","8985",,,"6550 · Office Supplies",52.40,1976.32
,"General Journal","5/17/2022","8986",,,"6550 · Office Supplies",16.64,1992.96
,"General Journal","5/17/2022","8987",,,"6550 · Office Supplies",28.33,2021.29
,"General Journal","5/17/2022","8988",,,"6550 · Office Supplies",15.00,2036.29
,"General Journal","5/18/2022","8989",,,"6402 · Walmart",23.93,2060.22
,"General Journal","5/18/2022","8990",,"microsoft office","6270 · Professional Fees",12.32,2072.54
,"General Journal","5/18/2022","8991",,,"6700 · Donation",30.00,2102.54
,"General Journal","5/18/2022","9029",,,"6550 · Office Supplies",27.29,2129.83
,"General Journal","5/18/2022","9030",,,"6550 · Office Supplies",14.69,2144.52
"Total 2118 · PC Finacial MasterCard",,,,,,,557.32,2144.52
"Total 2100 · Credit Card",,,,,,,557.32,2144.52
"TOTAL",,,,,,,557.32,2144.52
